Participant_ID,TPT,AA,SWRR
P06,STP,Audio Assistance Disabled,0
P06,STP,Audio Assistance Disabled,6.994818653
P06,STP,Audio Assistance Enabled,1.435406699
P06,STP,Audio Assistance Enabled,0.737100737
P06,RSVP,Audio Assistance Disabled,0
P06,RSVP,Audio Assistance Disabled,4.358353511
P06,RSVP,Audio Assistance Enabled,0
P07,STP,Audio Assistance Disabled,0
P07,STP,Audio Assistance Disabled,12.0240481
P07,STP,Audio Assistance Enabled,7.728337237
P07,STP,Audio Assistance Enabled,14.46540881
P07,RSVP,Audio Assistance Disabled,5.976095618
P07,RSVP,Audio Assistance Disabled,3.125
P07,RSVP,Audio Assistance Enabled,0
P07,RSVP,Audio Assistance Enabled,9.352517986
P08,STP,Audio Assistance Disabled,0
P08,STP,Audio Assistance Disabled,6.451612903
P08,STP,Audio Assistance Enabled,1.694915254
P08,STP,Audio Assistance Enabled,0.789473684
P08,RSVP,Audio Assistance Disabled,0
P08,RSVP,Audio Assistance Disabled,0
P08,RSVP,Audio Assistance Enabled,0
P08,RSVP,Audio Assistance Enabled,8.461538462
P10,STP,Audio Assistance Disabled,6.233766234
P10,STP,Audio Assistance Disabled,0
P10,STP,Audio Assistance Enabled,14.50549451
P10,STP,Audio Assistance Enabled,5.060240964
P10,RSVP,Audio Assistance Disabled,4.42804428
P10,RSVP,Audio Assistance Disabled,11.30952381
P10,RSVP,Audio Assistance Enabled,13.17829457
P10,RSVP,Audio Assistance Enabled,0
P11,STP,Audio Assistance Disabled,0
P11,STP,Audio Assistance Disabled,2.425876011
P11,STP,Audio Assistance Enabled,0
P11,STP,Audio Assistance Enabled,2.406417112
P11,RSVP,Audio Assistance Disabled,0.773195876
P11,RSVP,Audio Assistance Disabled,9.873417722
P11,RSVP,Audio Assistance Enabled,0
P11,RSVP,Audio Assistance Enabled,0
P12,STP,Audio Assistance Disabled,11.47959184
P12,STP,Audio Assistance Disabled,1.744186047
P12,STP,Audio Assistance Enabled,6.282722513
P12,STP,Audio Assistance Enabled,0
P12,RSVP,Audio Assistance Disabled,0
P12,RSVP,Audio Assistance Enabled,0
P12,RSVP,Audio Assistance Enabled,0
P13,STP,Audio Assistance Disabled,19.64735516
P13,STP,Audio Assistance Disabled,17.41424802
P13,RSVP,Audio Assistance Disabled,0
P13,RSVP,Audio Assistance Enabled,0
P14,STP,Audio Assistance Disabled,0
P14,STP,Audio Assistance Disabled,1.534526854
P14,STP,Audio Assistance Enabled,3.875968992
P14,STP,Audio Assistance Enabled,1.232032854
P14,RSVP,Audio Assistance Disabled,0.71942446
P14,RSVP,Audio Assistance Disabled,4.411764706
P14,RSVP,Audio Assistance Enabled,0
P14,RSVP,Audio Assistance Enabled,6.201550388
P15,STP,Audio Assistance Disabled,0
P15,STP,Audio Assistance Disabled,8.042895442
P15,STP,Audio Assistance Enabled,0
P15,STP,Audio Assistance Enabled,6.299212598
P15,RSVP,Audio Assistance Disabled,0
P15,RSVP,Audio Assistance Enabled,0
P15,RSVP,Audio Assistance Enabled,0
P16,STP,Audio Assistance Disabled,13.7755102
P16,STP,Audio Assistance Disabled,0
P16,STP,Audio Assistance Enabled,7.751937984
P16,STP,Audio Assistance Enabled,1.405152225
P16,RSVP,Audio Assistance Disabled,0
P16,RSVP,Audio Assistance Disabled,0
P16,RSVP,Audio Assistance Enabled,0
P17,STP,Audio Assistance Disabled,0
P17,STP,Audio Assistance Disabled,1.546391753
P17,STP,Audio Assistance Enabled,4.851752022
P17,STP,Audio Assistance Enabled,0.808625337
P17,RSVP,Audio Assistance Disabled,6.601466993
P17,RSVP,Audio Assistance Disabled,0
P17,RSVP,Audio Assistance Enabled,0
P17,RSVP,Audio Assistance Enabled,3.100775194
P18,STP,Audio Assistance Disabled,10.12987013
P18,STP,Audio Assistance Disabled,20.74468085
P18,STP,Audio Assistance Enabled,2.184466019
P18,STP,Audio Assistance Enabled,0
P18,RSVP,Audio Assistance Disabled,3.832116788
P18,RSVP,Audio Assistance Disabled,8.955223881
P18,RSVP,Audio Assistance Enabled,0
P18,RSVP,Audio Assistance Enabled,4.411764706
P19,STP,Audio Assistance Disabled,0
P19,STP,Audio Assistance Disabled,13.63636364
P19,STP,Audio Assistance Enabled,1.621621622
P19,STP,Audio Assistance Enabled,2.733485194
P19,RSVP,Audio Assistance Disabled,3.694581281
P19,RSVP,Audio Assistance Disabled,6.994818653
P19,RSVP,Audio Assistance Enabled,7.518796992
P19,RSVP,Audio Assistance Enabled,0
P20,STP,Audio Assistance Disabled,15.32258065
P20,STP,Audio Assistance Disabled,1.587301587
P20,STP,Audio Assistance Enabled,0.793650794
P20,STP,Audio Assistance Enabled,14.89361702
P20,RSVP,Audio Assistance Disabled,2.926829268
P20,RSVP,Audio Assistance Disabled,0
P20,RSVP,Audio Assistance Enabled,1.634877384
P20,RSVP,Audio Assistance Enabled,0
P21,STP,Audio Assistance Disabled,7.258064516
P21,STP,Audio Assistance Disabled,14.63414634
P21,STP,Audio Assistance Enabled,4.335260116
P21,STP,Audio Assistance Enabled,9.183673469
P21,RSVP,Audio Assistance Disabled,6.349206349
P21,RSVP,Audio Assistance Disabled,14.75409836
P21,RSVP,Audio Assistance Enabled,11.36842105
P21,RSVP,Audio Assistance Enabled,15.75
P22,STP,Audio Assistance Disabled,13.04347826
P22,RSVP,Audio Assistance Disabled,0
P22,RSVP,Audio Assistance Disabled,8.505154639
P22,RSVP,Audio Assistance Enabled,0
P22,RSVP,Audio Assistance Enabled,5.511811024
P23,STP,Audio Assistance Disabled,0.613496933
P23,STP,Audio Assistance Disabled,8.042895442
P23,STP,Audio Assistance Enabled,6.382978723
P23,STP,Audio Assistance Enabled,0
P23,RSVP,Audio Assistance Disabled,0
P23,RSVP,Audio Assistance Disabled,1.507537688
P23,RSVP,Audio Assistance Enabled,3.468208092
P23,RSVP,Audio Assistance Enabled,14.57800512
P24,STP,Audio Assistance Disabled,14.67391304
P24,STP,Audio Assistance Enabled,0
P24,STP,Audio Assistance Enabled,17.27748691
P24,RSVP,Audio Assistance Disabled,0
P24,RSVP,Audio Assistance Enabled,1.648351648
P24,RSVP,Audio Assistance Enabled,4.724409449
P25,STP,Audio Assistance Disabled,0
P25,STP,Audio Assistance Disabled,1.321585903
P25,STP,Audio Assistance Enabled,4.010695187
P25,STP,Audio Assistance Enabled,5.825242718
P25,RSVP,Audio Assistance Disabled,2.387267905
P25,RSVP,Audio Assistance Disabled,1.534526854
P25,RSVP,Audio Assistance Enabled,5.691056911
P25,RSVP,Audio Assistance Enabled,0
P26,STP,Audio Assistance Disabled,0
P26,STP,Audio Assistance Disabled,4.825737265
P26,STP,Audio Assistance Enabled,0
P26,STP,Audio Assistance Enabled,8.943089431
P26,RSVP,Audio Assistance Disabled,12.25961538
P26,RSVP,Audio Assistance Disabled,8.776595745
P26,RSVP,Audio Assistance Enabled,2.419354839
P27,STP,Audio Assistance Disabled,0
P27,STP,Audio Assistance Enabled,0
P27,STP,Audio Assistance Enabled,7.605633803
P27,RSVP,Audio Assistance Disabled,0
P27,RSVP,Audio Assistance Disabled,0
P27,RSVP,Audio Assistance Enabled,6.382978723
P27,RSVP,Audio Assistance Enabled,0
P28,STP,Audio Assistance Disabled,0
P28,STP,Audio Assistance Enabled,2.212389381
P28,STP,Audio Assistance Enabled,13.26781327
P28,RSVP,Audio Assistance Disabled,2.380952381
P28,RSVP,Audio Assistance Enabled,0
P29,STP,Audio Assistance Disabled,3.069053708
P29,STP,Audio Assistance Enabled,4.904632153
P29,RSVP,Audio Assistance Disabled,0
P29,RSVP,Audio Assistance Disabled,0
P29,RSVP,Audio Assistance Enabled,8.379888268
P29,RSVP,Audio Assistance Enabled,0
P30,STP,Audio Assistance Disabled,0
P30,STP,Audio Assistance Disabled,14.68531469
P30,STP,Audio Assistance Enabled,8.31408776
P30,STP,Audio Assistance Enabled,3.896103896
P30,RSVP,Audio Assistance Disabled,6.722689076
P30,RSVP,Audio Assistance Disabled,3.149606299
P30,RSVP,Audio Assistance Enabled,0
P30,RSVP,Audio Assistance Enabled,2.684563758
